Tweet URL,Targeted Sentiment,Sentence Sentiment,Target
https://twitter.com/empalii/status/1234199164629716992,negative,negative,trendyol
https://twitter.com/tosbaalice/status/1255271027283824640,negative,positive,trendyol
https://twitter.com/aleynozhn/status/1217208476864319488,negative,negative,trendyol
https://twitter.com/eitatli/status/1255257259019468802,neutral,neutral,turkcell
https://twitter.com/eegns/status/1253457666669793284,neutral,positive,trendyol
https://twitter.com/ARASKARGOmagdur/status/1263244022941978624,negative,negative,hepsiburada
https://twitter.com/BarMuhabbetleri/status/1253443937848758272,negative,negative,ekşi sözlük
https://twitter.com/canerburakaksoy/status/1261782789042712583,negative,negative,hepsiburada
https://twitter.com/BurhanUnal/status/1220732760958078977,negative,negative,trendyol
https://twitter.com/rabiacaakmak/status/1228427015239471105,negative,negative,trendyol
https://twitter.com/biyomedd/status/1263241264734056451,negative,negative,turkcell
https://twitter.com/derysjo/status/1227335460630024192,negative,negative,trendyol
https://twitter.com/ireeemozkan/status/1219718567148556288,positive,positive,trendyol
https://twitter.com/yikikdiyeceksnz/status/1221575162321154048,positive,positive,whatsapp
https://twitter.com/GlshQuin/status/1263609951760629760,neutral,neutral,turkcell
https://twitter.com/StarkHekimoo/status/1232044384465629184,negative,negative,trendyol
https://twitter.com/shankshei/status/1226292229037285377,neutral,negative,whatsapp
https://twitter.com/hasanzorlu_19/status/1259968309279285249,negative,negative,hepsiburada
https://twitter.com/begumztrkx/status/1250919390461284353,positive,positive,trendyol
https://twitter.com/gomezftinfinite/status/1215371356138807306,positive,positive,trendyol
https://twitter.com/Tilldem/status/1218672846010044416,neutral,negative,whatsapp
https://twitter.com/birecemgordum/status/1244749202435031041,positive,positive,trendyol
https://twitter.com/daadjamal1/status/1267235747750449154,negative,negative,whatsapp
https://twitter.com/naziersz/status/1244046243392823296,positive,positive,trendyol
https://twitter.com/burakakyalcin/status/1265770207429169153,neutral,negative,hepsiburada
https://twitter.com/nagihanncaglaar/status/1250916345752977408,negative,negative,trendyol
https://twitter.com/muratklalp/status/1239668487691341824,positive,positive,turkcell
https://twitter.com/btnozen/status/1224838283525574657,positive,positive,trendyol
https://twitter.com/cemkivircik/status/1219242096604991488,negative,negative,hepsiburada
https://twitter.com/sebnemkoseoglu/status/1228795923746185216,negative,negative,trendyol
https://twitter.com/leventbali/status/1213123093931134976,neutral,negative,hepsiburada
https://twitter.com/tural_a/status/1236699713107300353,negative,negative,coca cola
https://twitter.com/ugorur/status/1266103823258525698,negative,positive,ekşi sözlük
https://twitter.com/senogli/status/1221922610457595905,negative,negative,trendyol
https://twitter.com/ersinakman/status/1263237367105814536,negative,negative,hepsiburada
https://twitter.com/ayaklarimusuyo/status/1240756424831045634,negative,negative,trendyol
https://twitter.com/tutkutamkupeli/status/1225171381773533184,negative,negative,trendyol
https://twitter.com/cagmanhkn/status/1243685934274658305,negative,negative,whatsapp
https://twitter.com/Haddiordan/status/1219764815436091392,neutral,neutral,whatsapp
https://twitter.com/ayigit798/status/1212811121763213312,negative,negative,hepsiburada
https://twitter.com/_TunahanKaraca/status/1259620843702886401,neutral,neutral,turkcell
https://twitter.com/zeynihyy/status/1221934426508156928,negative,negative,trendyol
https://twitter.com/kafabidunyabe/status/1238594420137758720,negative,negative,trendyol
https://twitter.com/bildiginserkan/status/1224829187015528448,positive,neutral,coca cola
https://twitter.com/Enes55771144/status/1266515103240814595,positive,negative,hepsiburada
https://twitter.com/volkansahaf/status/1264656304192270344,neutral,neutral,hepsiburada
https://twitter.com/frausimsek/status/1233522647323074560,neutral,neutral,whatsapp
https://twitter.com/ahmeteus/status/1215391240092561409,negative,negative,turkcell
https://twitter.com/qwgalaksii/status/1216872066932146176,neutral,negative,whatsapp
https://twitter.com/imyakupsimsek/status/1235344821390364674,neutral,neutral,whatsapp
https://twitter.com/tugceguv/status/1241876382151593985,negative,negative,turkcell
https://twitter.com/ikorudag/status/1232073696392753155,negative,negative,trendyol
https://twitter.com/hayatyorgunuyuz/status/1217888503322857475,negative,negative,turkcell
https://twitter.com/kimbuhilmican/status/1233888819235229697,negative,negative,whatsapp
https://twitter.com/Bora__Tilki/status/1217956466323267584,neutral,negative,turkcell
https://twitter.com/KocFintech/status/1262893502070915074,neutral,positive,hepsiburada
https://twitter.com/Elifd94/status/1225916318580342785,negative,negative,ekşi sözlük
https://twitter.com/gozdedogantimur/status/1233370716239564803,negative,neutral,trendyol
https://twitter.com/sereindipiity/status/1221205438215151616,negative,negative,whatsapp
https://twitter.com/xoxmrf/status/1223743371686154240,neutral,negative,whatsapp
https://twitter.com/Tolga80760100/status/1216337299467915265,negative,negative,hepsiburada
https://twitter.com/odininogluu/status/1219036522894282753,positive,neutral,whatsapp
https://twitter.com/dogaerl/status/1264338904146161670,negative,negative,trendyol
https://twitter.com/meralkiyancicek/status/1262522684056965122,negative,negative,trendyol
https://twitter.com/dikeyeksen/status/1259582182001192960,neutral,neutral,hepsiburada
https://twitter.com/the_Beatles70/status/1230277102026579970,positive,positive,turkcell
https://twitter.com/gingerdiro/status/1218641288272072710,negative,negative,ekşi sözlük
https://twitter.com/twitvole/status/1242962338011123714,positive,positive,whatsapp
https://twitter.com/dbtldmr/status/1253088394034532352,negative,negative,trendyol
https://twitter.com/ladymldy/status/1218257495170392065,negative,negative,trendyol
https://twitter.com/Mrv_mina_Alp/status/1265790444560101376,negative,negative,hepsiburada
https://twitter.com/Allahn_Cezasi/status/1214329016469073920,negative,neutral,whatsapp
https://twitter.com/FromValinor/status/1215026856698798083,negative,negative,trendyol
https://twitter.com/OzAN__23/status/1246222065922957313,negative,neutral,whatsapp
https://twitter.com/Sabah/status/1240782653978271744,positive,positive,whatsapp
https://twitter.com/KurumBilgileri/status/1223744960056504320,positive,positive,turkcell
https://twitter.com/ekzelf34/status/1224480879743029248,neutral,negative,whatsapp
https://twitter.com/RojbinOztrk/status/1242228666618298368,negative,negative,trendyol
https://twitter.com/tantrona/status/1261727504424984576,neutral,neutral,hepsiburada
https://twitter.com/ebruasskaya/status/1262161776365506560,neutral,neutral,trendyol
https://twitter.com/gizemgcnt18/status/1242928457325166593,neutral,neutral,trendyol
https://twitter.com/iamgokce_/status/1261443689567498240,positive,positive,ekşi sözlük
https://twitter.com/ekimdeilkbahar/status/1224447375747346435,neutral,negative,ekşi sözlük
https://twitter.com/happyycheek/status/1266433580852563968,negative,negative,hepsiburada
https://twitter.com/AdarBarErdem1/status/1266143015057448962,positive,negative,turkcell
https://twitter.com/gurmemarket/status/1264313320124841985,neutral,positive,hepsiburada
https://twitter.com/cardibeyza/status/1231331076234194945,negative,negative,trendyol
https://twitter.com/uzunharmanlar/status/1247999355086307329,positive,negative,coca cola
https://twitter.com/tuekoc/status/1267181930858119168,neutral,neutral,hepsiburada
https://twitter.com/fmustafabakir/status/1237156855488618497,positive,negative,turkcell
https://twitter.com/melisadekin90/status/1256732124171943938,positive,positive,trendyol
https://twitter.com/Talisman_Ist/status/1244049622240198662,neutral,neutral,whatsapp
https://twitter.com/MertMut07560297/status/1223021401839370241,positive,negative,turkcell
https://twitter.com/wellamorxx/status/1227708987027738624,negative,negative,trendyol
https://twitter.com/ekoobella/status/1263619769854504967,positive,positive,turkcell
https://twitter.com/ayhannyuksek/status/1259940684557099018,negative,negative,hepsiburada
https://twitter.com/HasretMerzifon/status/1238607403547004928,neutral,negative,whatsapp
https://twitter.com/cokpdrannecim/status/1235673502222635010,positive,positive,trendyol
https://twitter.com/gurdenizb/status/1235352831407927299,positive,positive,whatsapp
https://twitter.com/reallatovlevici/status/1248384533105266694,positive,positive,ekşi sözlük
https://twitter.com/melekkaltun/status/1253444129612234752,negative,negative,trendyol
https://twitter.com/klasikoznur/status/1221537444186787843,positive,negative,trendyol
https://twitter.com/EfekanCetinkaya/status/1230273366810071040,positive,positive,whatsapp
https://twitter.com/ahval_tr/status/1214328929311318017,neutral,neutral,whatsapp
https://twitter.com/34bd17/status/1241871877850742784,neutral,neutral,whatsapp
https://twitter.com/zeyneptsngl/status/1252734461550231554,negative,negative,trendyol
https://twitter.com/stormbbornn/status/1216428491610251265,positive,positive,turkcell
https://twitter.com/9802010469/status/1259540914101538816,negative,negative,hepsiburada
https://twitter.com/kirimadalaremir/status/1239701041152737280,neutral,negative,whatsapp
https://twitter.com/burkiovski/status/1236074655330562048,neutral,neutral,whatsapp
https://twitter.com/Sosso10996890/status/1224823707635503104,neutral,neutral,turkcell
https://twitter.com/kubragn00/status/1265424773263372288,negative,negative,trendyol
https://twitter.com/orcunCvitrin/status/1231685692041973761,negative,negative,turkcell
https://twitter.com/CiauBellaaa/status/1219000140972920833,neutral,neutral,hepsiburada
https://twitter.com/hotgirlbummeer/status/1229879649808809985,negative,negative,trendyol
https://twitter.com/kafffkaaaa/status/1252011308985323520,negative,negative,trendyol
https://twitter.com/iremdeniiiiz/status/1259626594307637250,positive,neutral,trendyol
https://twitter.com/ikranursahin/status/1235684313699627010,negative,negative,trendyol
https://twitter.com/gunceaykol/status/1217221998994214913,negative,negative,trendyol
https://twitter.com/ebrusyn_/status/1220733497360420864,positive,positive,trendyol
https://twitter.com/zulalcex/status/1262165853753262083,negative,negative,trendyol
https://twitter.com/daylightfelicty/status/1249113646669627399,neutral,negative,trendyol
https://twitter.com/iilknursen/status/1240265451692855300,negative,neutral,coca cola
https://twitter.com/brokeoness/status/1248737563885686785,neutral,neutral,trendyol
https://twitter.com/eksi2yuz/status/1244391702229651457,negative,negative,ekşi sözlük
https://twitter.com/myerveldz/status/1240054908210106372,neutral,neutral,turkcell
https://twitter.com/frkncmrlu/status/1267222408345391111,negative,negative,turkcell
https://twitter.com/pdrgulsen/status/1257801733339779075,positive,negative,turkcell
https://twitter.com/erkanden/status/1237862940499251201,positive,positive,ekşi sözlük
https://twitter.com/CHEtoGO/status/1242600020823678978,neutral,negative,whatsapp
https://twitter.com/yzsmsz/status/1237520202562068481,negative,negative,trendyol
https://twitter.com/MertDinceel/status/1219748246974799878,positive,neutral,turkcell
https://twitter.com/zek_ozgun/status/1230997876031004674,negative,negative,whatsapp
https://twitter.com/fundaEke/status/1215000824960692227,negative,negative,hepsiburada
https://twitter.com/YasnYalgn/status/1224477113257951232,neutral,neutral,whatsapp
https://twitter.com/b_gurun/status/1260674103477972993,negative,negative,hepsiburada
https://twitter.com/kathpiem/status/1232057080087011328,negative,negative,trendyol
https://twitter.com/denizzAkkan/status/1238947022851506186,positive,positive,trendyol
https://twitter.com/eksi2yuz/status/1259596932575608838,negative,negative,ekşi sözlük
https://twitter.com/ssezenkayaa/status/1263978843393662976,positive,neutral,trendyol
https://twitter.com/fateozk/status/1264340934071930884,positive,positive,trendyol
https://twitter.com/asliiErdm/status/1229130968683945987,positive,neutral,coca cola
https://twitter.com/ErkanMy/status/1265764123096371204,positive,neutral,hepsiburada
https://twitter.com/herhaldeoldu/status/1234168912251686912,neutral,neutral,turkcell
https://twitter.com/reisizey/status/1216454572547432448,negative,negative,turkcell
https://twitter.com/hazretinaje/status/1259256322937229314,negative,negative,trendyol
https://twitter.com/mitSeze62000080/status/1235505561296306176,negative,negative,coca cola
https://twitter.com/homoekonomicuss/status/1242599168050442240,neutral,negative,whatsapp
https://twitter.com/recessionera1/status/1256730235107782658,positive,positive,ekşi sözlük
https://twitter.com/justunflappable/status/1261079058366050305,neutral,neutral,trendyol
https://twitter.com/HARLOTQUINZEL/status/1219350967013052417,negative,negative,coca cola
https://twitter.com/nedemekevet/status/1261800744606408704,negative,negative,turkcell
https://twitter.com/persephnee/status/1239301690127417344,neutral,neutral,trendyol
https://twitter.com/yesiiilimsiii/status/1249101977608306689,negative,negative,trendyol
https://twitter.com/BlackPumA_QB/status/1221945936512987137,neutral,neutral,whatsapp
https://twitter.com/callmesterka/status/1243322319415713792,neutral,negative,whatsapp
https://twitter.com/gizembayan/status/1249847493371793409,neutral,neutral,trendyol
https://twitter.com/nextforum_net/status/1225926724455563266,positive,positive,whatsapp
https://twitter.com/burakcan_kaymak/status/1225559878036590593,neutral,neutral,whatsapp
https://twitter.com/NetLafmacun/status/1230493547960377344,positive,positive,coca cola
https://twitter.com/esmadgsn/status/1242565352678178817,negative,negative,trendyol
https://twitter.com/gndd_58/status/1262893099187044353,negative,negative,turkcell
https://twitter.com/GndSeyda/status/1240060270589992960,positive,positive,whatsapp
https://twitter.com/SADVN/status/1230983115608211456,negative,negative,turkcell
https://twitter.com/BarisSancaroglu/status/1227709196340252678,neutral,neutral,turkcell
https://twitter.com/xverliebt/status/1237116724148948998,positive,neutral,coca cola
https://twitter.com/nazileetokluu/status/1224474062925303811,negative,negative,trendyol
https://twitter.com/KubraAhraz/status/1240744178000289792,negative,negative,trendyol
https://twitter.com/StyleRomano/status/1236778357657948163,neutral,neutral,trendyol
https://twitter.com/Senaakesk/status/1223345315996147714,negative,negative,trendyol
https://twitter.com/nihayetcll/status/1241510703590191104,neutral,negative,whatsapp
https://twitter.com/alikaripolu/status/1255969969118105607,negative,negative,turkcell
https://twitter.com/eterrnalsadness/status/1251654163274047489,negative,negative,trendyol
https://twitter.com/Profezia/status/1234605470805000193,positive,negative,turkcell
https://twitter.com/Seyyah999/status/1263954485015121923,negative,negative,hepsiburada
https://twitter.com/wineavoid/status/1234970150367002624,negative,negative,trendyol
https://twitter.com/tktsln/status/1220460311284801553,negative,negative,trendyol
https://twitter.com/HalilDzigal/status/1241142505435009027,neutral,neutral,whatsapp
https://twitter.com/zhemchuzhinaaa/status/1263611157841170432,neutral,neutral,turkcell
https://twitter.com/lynchgirisimi/status/1256343469146222592,negative,negative,ekşi sözlük
https://twitter.com/kadir02852079/status/1234987955334176768,neutral,negative,whatsapp
https://twitter.com/BUSRA__SEN/status/1252372523057991680,negative,negative,trendyol
https://twitter.com/sinankilic47/status/1216114899262365697,positive,positive,ekşi sözlük
https://twitter.com/akyldzkbra/status/1231344115335475211,negative,negative,trendyol
https://twitter.com/enssygnr3/status/1229484162341625856,neutral,negative,coca cola
https://twitter.com/cemal74434145/status/1262878531190689795,positive,positive,ekşi sözlük
https://twitter.com/beriloztunali/status/1252385166812524544,negative,negative,trendyol
https://twitter.com/CooLRomeo87/status/1217220177059860485,neutral,neutral,whatsapp
https://twitter.com/ForevertiryakiF/status/1212457476123189250,negative,negative,turkcell
https://twitter.com/OzAlperen1/status/1250193716997996544,negative,negative,trendyol
https://twitter.com/gizeemcolak/status/1221523860991774721,negative,negative,trendyol
https://twitter.com/shoppingbyee/status/1222243723372900358,positive,positive,trendyol
https://twitter.com/zhemchuzhinaaa/status/1240418415828963328,positive,positive,whatsapp
https://twitter.com/ugurtekbas/status/1216768910604820482,negative,negative,turkcell
https://twitter.com/fundakayyaa/status/1261079523417784320,negative,negative,trendyol
https://twitter.com/yagizsencer/status/1216459836537307137,positive,neutral,turkcell
https://twitter.com/mdhcilingir/status/1254914337065578496,negative,negative,ekşi sözlük
https://twitter.com/mertpostif/status/1218978610872311812,neutral,neutral,coca cola
https://twitter.com/feroderlerrr/status/1255278796191694849,negative,negative,trendyol
https://twitter.com/Rainowtime/status/1237117532185808896,positive,positive,coca cola
https://twitter.com/garacucukkk/status/1242601580962238467,neutral,neutral,whatsapp
https://twitter.com/Bababitkin2/status/1241857816291348485,neutral,neutral,trendyol
https://twitter.com/ferahyildirim/status/1226273263384481792,positive,negative,turkcell
https://twitter.com/_umutt9/status/1212885608768720899,negative,negative,whatsapp
https://twitter.com/GulsumBozdag/status/1216509286454571011,positive,negative,trendyol
https://twitter.com/elcinnisk/status/1223345614701977600,positive,positive,trendyol
https://twitter.com/ssozen42/status/1220845824386703360,positive,positive,turkcell
